,title,link
20,"Maharashtra Lockdown: Total Shutdown Imposed in 21 Villages, Only Essential Services Allowed",news.google.com/./articles/CAIiEHCbrqsLecbd2arSY2bwHfUqGQgEKhAIACoHCAow5dz4CjCO8d4CMLW6uAY?uo=CAUiuAFodHRwczovL3d3dy5pbmRpYS5jb20vbWFoYXJhc2h0cmEvbWFoYXJhc2h0cmEtbG9ja2Rvd24tbGF0ZXN0LW5ld3MtdG9kYXktMTgtb2N0b2Jlci0yMDIxLWxvY2tkb3duLWltcG9zZWQtaW4tYWhtZWRuYWdhci10aWxsLW9jdG9iZXItMjMtZXNzZW50aWFsLXNlcnZpY2VzLWFsbG93ZWQtcmVhZC1kZXRhaWxzLTUwNTgyMDMv0gEA&hl=en-IN&gl=IN&ceid=IN%3Aen
21,Will there be a Christmas lockdown? What Boris Johnson has said about how likely winter Covid restrictions are,news.google.com/./articles/CBMidGh0dHBzOi8vaW5ld3MuY28udWsvbmV3cy9jaHJpc3RtYXMtbG9ja2Rvd24td2lsbC10aGVyZS1iZS1jb3ZpZC1yZXN0cmljdGlvbnMtaG93LWxpa2VseS1ib3Jpcy1qb2huc29uLXBsYW4tYi0xMzAzMDIy0gF4aHR0cHM6Ly9pbmV3cy5jby51ay9uZXdzL2NocmlzdG1hcy1sb2NrZG93bi13aWxsLXRoZXJlLWJlLWNvdmlkLXJlc3RyaWN0aW9ucy1ob3ctbGlrZWx5LWJvcmlzLWpvaG5zb24tcGxhbi1iLTEzMDMwMjIvYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen
22,"Nearly 75% plan to keep holiday gatherings to household, poll shows; New York City allows boosters for all adults: COVID-19 updates",news.google.com/./articles/CAIiEKQOq3xx9KcTOQA6TjqdjuoqGQgEKhAIACoHCAowjsP7CjCSpPQCMM_b5QU?uo=CAUiamh0dHBzOi8vd3d3LnVzYXRvZGF5LmNvbS9zdG9yeS9uZXdzL2hlYWx0aC8yMDIxLzExLzE1L2luZmxhdGlvbi12YWNjaW5lLW1hbmRhdGVzLWNvdmlkLXVwZGF0ZXMvODYxNzg3MzAwMi_SAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
23,Lockdown for life,news.google.com/./articles/CBMiNmh0dHBzOi8vd3d3Lmxvd2VsbHN1bi5jb20vMjAyMS8xMS8xNi9sb2NrZG93bi1mb3ItbGlmZdIBO2h0dHBzOi8vd3d3Lmxvd2VsbHN1bi5jb20vMjAyMS8xMS8xNi9sb2NrZG93bi1mb3ItbGlmZS9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen
24,How we met: ‘My love life was in lockdown. I’d given up looking’,news.google.com/./articles/CAIiEPUpV4K63GAh3XpoIGF64QgqFggEKg4IACoGCAowl6p7MN-zCTDlkko?uo=CAUicGh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS9saWZlYW5kc3R5bGUvMjAyMS9ub3YvMTUvaG93LXdlLW1ldC1teS1sb3ZlLWxpZmUtd2FzLWluLWxvY2tkb3duLWlkLWdpdmVuLXVwLWxvb2tpbmfSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
25,Simon Cowell and Lauren Silverman 'grew closer during lockdown',news.google.com/./articles/CBMiowFodHRwczovL3d3dy5pbnNpZGVub3ZhLmNvbS9saWZlc3R5bGVzL2VudGVydGFpbm1lbnQvc2ltb24tY293ZWxsLWFuZC1sYXVyZW4tc2lsdmVybWFuLWdyZXctY2xvc2VyLWR1cmluZy1sb2NrZG93bi9hcnRpY2xlX2I0MjIxNWZjLTRmZDgtNWE3MC1hZjJjLTEwNTM2YmI3ZTg1OC5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
26,Covid weekly deaths return to levels last seen in March,news.google.com/./articles/CAIiEKlnWB8gSuksT23XOEvEsXYqGQgEKhAIACoHCAowzuOICzCZ4ocDMJ3joAY?uo=CAUiY2h0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtMTAyMDgyNzkvQ292aWQtd2Vla2x5LWRlYXRocy1yZXR1cm4tbGV2ZWxzLXNlZW4tTWFyY2guaHRtbNIBAA&hl=en-IN&gl=IN&ceid=IN%3Aen
27,Australian big business and anti-lockdown movement unite against state government's pandemic bill,news.google.com/./articles/CBMiOWh0dHBzOi8vd3d3Lndzd3Mub3JnL2VuL2FydGljbGVzLzIwMjEvMTEvMTYvdmljdC1uMTYuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
28,Here's what we know about COVID-19 lockdowns in Katherine and Robinson River,news.google.com/./articles/CAIiEOKz5TQeqLfclmPXhGwUM5EqFggEKg4IACoGCAow3vI9MPeaCDDciw4?uo=CAUicGh0dHBzOi8vd3d3LmFiYy5uZXQuYXUvbmV3cy8yMDIxLTExLTE2L2thdGhlcmluZS1yb2JpbnNvbi1yaXZlci1jb3ZpZC1sb2NrZG93bnMtd2hhdC13ZS1rbm93LWV4cGxhaW5lci8xMDA2MjI1ODTSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
29,Singapore PM Lee rules out indefinite Covid-19 lockdown,news.google.com/./articles/CAIiEFRGv5tdWf_vYSKE_OhqdacqFwgEKg4IACoGCAoww7k_MMevCDDIrqcH?uo=CAUidmh0dHBzOi8vd3d3LmhpbmR1c3RhbnRpbWVzLmNvbS93b3JsZC1uZXdzL3NpbmdhcG9yZS1wbS1sZWUtcnVsZXMtb3V0LWluZGVmaW5pdGUtY292aWQtMTktbG9ja2Rvd24tMTAxNjM1MDY2MTYyNzE2Lmh0bWzSAQA&hl=en-IN&gl=IN&ceid=IN%3Aen
